word, english, example sentence, translate 
hoi, hi, hoi allemaal, hi everyone
hallo, hello, hallo allemaal, hello everyone
dag, day, dag allemaal, day everyone
goedemorgen, good morning, goedemorgen allemaal, good morning everyone
goedemiddag, good afternoon, goedemiddag allemaal, good afternoon everyone
goedenavond, good evening, goedenavond allemaal, good evening everyone
goedenacht, good night, goedenacht allemaal, good night everyone
goedendag, good day, goedendag allemaal, good day everyone
doei, bye, doei allemaal, bye everyone
tot zo, see you soon, tot zo allemaal, see you soon everyone
tot straks, see you later, tot straks allemaal, see you later everyone
tot morgen, see you tomorrow, tot morgen allemaal, see you tomorrow everyone
tot ziens, see you, tot ziens allemaal, see you everyone
tot later, see you later, tot later allemaal, see you later everyone
tot gauw, see you soon, tot gauw allemaal, see you soon everyone
tot snel, see you soon, tot snel allemaal, see you soon everyone
tot dan, see you then, tot dan allemaal, see you then everyone
tot volgende week, see you next week, tot volgende week allemaal, see you next week everyone
tot volgende maand, see you next month, tot volgende maand allemaal, see you next month everyone
tot volgend jaar, see you next year, tot volgend jaar allemaal, see you next year everyone
tot de volgende keer, see you next time, tot de volgende keer allemaal, see you next time everyone
