word,english,type,example
maandag,Monday,noun,Ik ga naar school op maandag.
dinsdag,Tuesday,noun,Ik heb een vergadering op dinsdag.
woensdag,Wednesday,noun,Ik ga naar de gym op woensdag.
donderdag,Thursday,noun,Ik heb een doktersafspraak op donderdag.
vrijdag,Friday,noun,Ik ga naar de bioscoop op vrijdag.
zaterdag,Saturday,noun,Ik blijf thuis op zaterdag.
zondag,Sunday,noun,Ik ga naar de kerk op zondag.
januari,January,noun,Mijn verjaardag is in januari.
februari,February,noun,Februari is de kortste maand van het jaar.
maart,March,noun,Het begint te bloeien in maart.
april,April,noun,April is de vierde maand van het jaar.
mei,May,noun,Mei heeft 31 dagen.
juni,June,noun,Juni is de zesde maand van het jaar.
juli,July,noun,Juli is de zevende maand van het jaar.
augustus,August,noun,Augustus is de achtste maand van het jaar.
september,September,noun,September is de negende maand van het jaar.
oktober,October,noun,Oktober is de tiende maand van het jaar.
november,November,noun,November is de elfde maand van het jaar.
december,December,noun,December is de twaalfde maand van het jaar.
lente,Spring,noun,De bloemen bloeien in de lente.
zomer,Summer,noun,Het is warm in de zomer.
herfst,Autumn,noun,De bladeren vallen in de herfst.
winter,Winter,noun,Het sneeuwt in de winter.
