word, english, example, translate
jonger, younger, de jongere broer van Noor, the younger brother of Noor
oud, old, de oudere broer van Noor, the older brother of Noor
lang, tall, de lange broer van Noor, the tall brother of Noor
kort, short, de korte broer van Noor, the short brother of Noor
klein, small, de kleine broer van Noor, the small brother of Noor
groot, big, de grote broer van Noor, the big brother of Noor
dik, fat, de dikke broer van Noor, the fat brother of Noor
dun, thin, de dunne broer van Noor, the thin brother of Noor
mager, skinny, de magere broer van Noor, the skinny brother of Noor
slank, slim, de slanke broer van Noor, the slim brother of Noor
mooi, beautiful, de mooie broer van Noor, the beautiful brother of Noor
lelijk, ugly, de lelijke broer van Noor, the ugly brother of Noor
aardig, nice, de aardige broer van Noor, the nice brother of Noor
lief, sweet, de lieve broer van Noor, the sweet brother of Noor
dom, stupid, de domme broer van Noor, the stupid brother of Noor
slim, smart, de slimme broer van Noor, the smart brother of Noor
grappig, funny, de grappige broer van Noor, the funny brother of Noor
serieus, serious, de serieuze broer van Noor, the serious brother of Noor
vrolijk, happy, de vrolijke broer van Noor, the happy brother of Noor
verdrietig, sad, de verdrietige broer van Noor, the sad brother of Noor
boos, angry, de boze broer van Noor, the angry brother of Noor
bang, scared, de bange broer van Noor, the scared brother of Noor
verlegen, shy, de verlegen broer van Noor, the shy brother of Noor
bril, glasses, de broer met een bril, the brother with glasses
