word,english,type,example
een,one,numeral,Ik heb een kat.
twee,two,numeral,Ik heb twee honden.
drie,three,numeral,Ik heb drie broers.
vier,four,numeral,Ik heb vier zussen.
vijf,five,numeral,Ik heb vijf pennen.
zes,six,numeral,Zes is mijn geluksnummer.
zeven,seven,numeral,Zeven dagen in een week.
acht,eight,numeral,Ik drink acht glazen water per dag.
negen,nine,numeral,Negen levens van een kat.
tien,ten,numeral,Tien vingers op mijn handen.
elf,eleven,numeral,Elf spelers in een voetbalteam.
twaalf,twelve,numeral,Twaalf maanden in een jaar.
dertien,thirteen,numeral,Dertien is een ongeluksgetal.
veertien,fourteen,numeral,Veertien lijnen in een sonnet.
vijftien,fifteen,numeral,Vijftien spelers in een rugbyteam.
zestien,sixteen,numeral,Zestien is de rijpe leeftijd in sommige landen.
zeventien,seventeen,numeral,Zeventien is een priemgetal.
achttien,eighteen,numeral,Achttien holes op een golfbaan.
negentien,nineteen,numeral,Negentien is een priemgetal.
twintig,twenty,numeral,Twintig vingers en tenen aan een menselijk lichaam.
dertig,thirty,numeral,Dertig dagen heeft september.
veertig,forty,numeral,Er zijn veertig dieven in het verhaal van Ali Baba.
vijftig,fifty,numeral,Vijftig staten in de VS.
zestig,sixty,numeral,Een minuut heeft zestig seconden.
zeventig,seventy,numeral,Zeventig jaar is een levensduur.
tachtig,eighty,numeral,Tachtig dagen rond de wereld.
negentig,ninety,numeral,Negentig graden is een rechte hoek.
honderd,hundred,numeral,Honderd centimeter is een meter.
duizend,thousand,numeral,Duizend jaar is een millennium.
tienduizend,ten thousand,numeral,Tienduizend stappen is een gezond dagelijks doel.
honderdduizend,hundred thousand,numeral,Honderdduizend is een groot getal.
miljoen,million,numeral,Een miljoen is een zeer groot getal.
