word,english,type,example
in,in,preposition,Ik woon in Nederland.
op,on,preposition,De kat zit op de tafel.
onder,under,preposition,De hond ligt onder de tafel.
naast,next to,preposition,De winkel is naast het postkantoor.
achter,behind,preposition,Het huis staat achter de kerk.
voor,in front of,preposition,Het kind staat voor het huis.
tussen,between,preposition,Het park ligt tussen twee gebouwen.
met,with,preposition,Ik eet soep met een lepel.
zonder,without,preposition,Ik drink koffie zonder suiker.
tegen,against,preposition,De fiets leunt tegen de muur.
over,over,preposition,Het brug gaat over de rivier.
door,through,preposition,We lopen door het park.
rond,around,preposition,Het kind rent rond de tafel.
